id,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora,pt
1,21656.93169995211,2713.8620000332594,True,0.4605042613636361,NA,6,mshoni,tailor,0.291363636363636,0
2,26513.345399987884,6810.6902000145055,True,0.3638778409090899,NA,13,pafu,lung,0.24590909090909,0
3,34701.47569995606,2198.86410003528,True,0.42943181818181786,NA,3,theluji,snow,0.22318181818181798,0
4,38334.52169998782,1650.1646999968216,True,0.286427556818181,NA,9,ziwa,lake,0.236818181818181,0
5,41543.226499983575,1428.0611000140198,True,0.5126349431818181,NA,7,tumbili,monkey,0.22318181818181798,0
6,47640.51599998493,976.461999991443,True,0.227727272727272,NA,12,rafiki,friend,0.227727272727272,0
7,50261.30589999957,1558.489999966696,True,0.132272727272727,NA,4,iktisadi,economy,0.132272727272727,0
8,54278.903700003866,3414.2571999691427,True,0.17811789772727202,NA,1,sala,prayer,0.227727272727272,0
9,60189.500299980864,3118.9957999740727,True,0.4168252840909089,NA,8,fumbo,mystery,0.264090909090909,0
10,65740.86550000357,4819.100299966522,True,0.4284019886363629,NA,14,paji,forehead,0.268636363636363,0
11,73095.62249999726,2352.715299988631,True,0.22811789772727198,NA,17,jibini,cheese,0.277727272727272,0
12,77270.93289996265,3994.29170001531,True,0.304609375,NA,16,jani,leaf,0.255,0
13,82705.61780000571,1867.8554999642074,True,0.4640553977272718,NA,5,yamini,oath,0.277727272727272,0
14,85875.50899997586,8752.244799979962,True,0.49953125,NA,2,ubini,forgery,0.305,0
15,96368.87539998861,2728.7554999929853,True,0.4110369318181809,NA,18,hadithi,story,0.28681818181818103,0
16,101120.79909996828,1149.1402999963611,True,0.18681818181818102,NA,11,nyanya,tomato,0.18681818181818102,0
17,104745.30929996399,1496.5383000089787,True,0.055,NA,10,mbwa,dog,0.055,0
18,107755.91019995045,1900.1534000271931,True,0.2731818181818181,NA,15,mfupa,bone,0.27318181818181797,0

19,112112.81359998975,2101.7683999962173,True,0.17811789772727202,"rgb(85,255,0)",1,sala,prayer,0.227727272727272,1
20,116662.07899997244,1565.773700014688,True,0.132272727272727,"rgb(29,255,0)",4,iktisadi,economy,0.132272727272727,1
21,121565.83129998762,1625.0071999966167,True,0.4605042613636361,"rgb(255,28,0)",6,mshoni,tailor,0.291363636363636,1
22,126549.55840000184,1570.118099974934,True,0.3638778409090899,"rgb(255,197,0)",13,pafu,lung,0.24590909090909,1
23,129748.65379999392,2221.3427000097,True,0.5126349431818181,"rgb(255,28,0)",7,tumbili,monkey,0.22318181818181798,1
24,134631.60359999165,1517.099499993492,True,0.4110369318181809,"rgb(255,141,0)",18,hadithi,story,0.28681818181818103,1
25,138676.06389999855,1890.7898999750614,True,0.286427556818181,"rgb(255,255,0)",9,ziwa,lake,0.236818181818181,1
26,141999.71959996037,3043.9219000400044,True,0.49953125,"rgb(255,28,0)",2,ubini,forgery,0.305,1
27,146867.2966999584,1580.3870999952778,True,0.42943181818181786,"rgb(255,84,0)",3,theluji,snow,0.22318181818181798,1
28,149585.0546999718,2123.0504999984987,True,0.4168252840909089,"rgb(255,84,0)",8,fumbo,mystery,0.264090909090909,1
29,154448.19759996608,2757.7664999989793,True,0.304609375,"rgb(255,255,0)",16,jani,leaf,0.255,1
30,159330.08419995895,7087.148900027387,True,0.22811789772727198,"rgb(142,255,0)",17,jibini,cheese,0.277727272727272,1
31,168200.31299995026,6965.546100051142,True,0.2731818181818181,"rgb(198,255,0)",15,mfupa,bone,0.27318181818181797,1
32,176953.670399962,1394.8234000126831,True,0.055,"rgb(29,255,0)",10,mbwa,dog,0.055,1
33,179479.63439999148,1184.533999999985,True,0.18681818181818102,"rgb(85,255,0)",11,nyanya,tomato,0.18681818181818102,1
34,182391.6311999783,3570.7337000058033,True,0.4640553977272718,"rgb(255,28,0)",5,yamini,oath,0.277727272727272,1
35,187313.3031000034,1098.6138999578543,True,0.227727272727272,"rgb(142,255,0)",12,rafiki,friend,0.227727272727272,1
36,190345.43849999318,4286.197000008542,True,0.4284019886363629,"rgb(255,84,0)",14,paji,forehead,0.268636363636363,1

